company_id,type,rule_id,text,confidence_pct
PNB,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
PNB,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
PNB,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
POWERGRID,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
POWERGRID,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
POWERGRID,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
RECLTD,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,80.4
RECLTD,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
RECLTD,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
RECLTD,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
RELIANCE,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
RELIANCE,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
SBILIFE,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
SBILIFE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
SBILIFE,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
SBILIFE,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
SBIN,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
SBIN,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
SBIN,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
SBIN,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
SHREECEM,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
SHREECEM,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
SHREECEM,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
SHRIRAMFIN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
SHRIRAMFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
SHRIRAMFIN,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
SHRIRAMFIN,con,C06,Interest coverage below 1.5x indicates elevated debt-servicing pressure,92.0
SHRIRAMFIN,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
SIEMENS,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
SIEMENS,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
SIEMENS,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
SIEMENS,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
SUNPHARMA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
SUNPHARMA,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
SUNPHARMA,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
SUNPHARMA,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
SUNPHARMA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
SUNPHARMA,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TATACONSUM,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
TATACONSUM,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
TATACONSUM,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TATAMOTORS,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,97.5
TATAMOTORS,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TATAMOTORS,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TATAPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
TATAPOWER,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TATAPOWER,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TATASTEEL,pro,P12,Operating and financial metrics provide a measurable basis for continued monitoring,65.0
TATASTEEL,con,C04,The latest period shows a net loss relative to sales,95.0
TATASTEEL,con,C10,Return on capital employed below 10% indicates relatively modest capital returns,82.0
TCS,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,99.0
TCS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
TCS,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
TCS,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TCS,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TECHM,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
TECHM,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TECHM,con,C07,Dividend payout above 100% indicates distributions exceed reported net profit,90.0
TITAN,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,97.2
TITAN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
TITAN,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
TITAN,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TITAN,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
TITAN,con,C03,Operating margins have declined across the latest three observations,82.0
TORNTPHARM,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,84.2
TORNTPHARM,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
TORNTPHARM,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
TORNTPHARM,pro,P08,Dividend distribution is backed by positive free cash flow,80.0
TORNTPHARM,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
TORNTPHARM,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TRENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
TRENT,pro,P06,Net profit compounding at above 20% over 5 years indicates strong earnings compounding,90.0
TRENT,pro,P07,Very high interest coverage or debt-free status indicates limited debt-servicing pressure,92.0
TRENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
TRENT,con,C12,Some key financial indicators remain below the strongest peer-growth signals and warrant monitoring,65.0
TVSMOTOR,pro,P01,Consistently high return on equity above 20% demonstrates strong capital efficiency,86.2
TVSMOTOR,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings compounding,88.0
TVSMOTOR,con,C01,Debt-to-equity ratio of 3.83 is elevated for a non-financial company and warrants monitoring,90.0
